variant,clusters,cluster_count,gate,weight_mode,active_days,active_day_ratio,days,mean_daily,ann_simple,ann_compound,sharpe,sortino,hit_rate,max_drawdown,total_return
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R0_no_gate,equal,78,1.0,78,0.00217568,0.548272,0.729231,2.219926,4.391617,0.538462,-0.10425683,0.173653
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R3_liquidity_low,equal,38,0.487179,78,0.00308941,0.778531,1.175657,4.547115,6.085254,0.320513,-0.03442312,0.266314
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R5_vol_or_trendlow_or_liqlow,equal,52,0.666667,78,0.00300161,0.756405,1.128189,3.827856,7.265461,0.384615,-0.04184402,0.255818
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R6_at_least_2_of_vol_trend_liq,equal,43,0.551282,78,0.00272116,0.685733,0.983379,3.842269,6.113946,0.333333,-0.0466799,0.23008
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R0_no_gate,equal,78,1.0,78,0.00243765,0.614288,0.846958,2.302436,4.253535,0.538462,-0.11058902,0.195939
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R3_liquidity_low,equal,38,0.487179,78,0.00326228,0.822095,1.272218,4.491351,5.515173,0.307692,-0.03901198,0.282624
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R5_vol_or_trendlow_or_liqlow,equal,52,0.666667,78,0.00320795,0.808403,1.241418,3.828726,6.735137,0.371795,-0.05255119,0.275048
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R6_at_least_2_of_vol_trend_liq,equal,43,0.551282,78,0.00277957,0.700452,1.012706,3.647691,5.280076,0.320513,-0.05723822,0.234727
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R0_no_gate,equal,78,1.0,78,0.00235699,0.59396,0.809882,2.362119,4.564438,0.551282,-0.1011116,0.18992
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R3_liquidity_low,equal,38,0.487179,78,0.00319152,0.804262,1.232187,4.600898,5.871958,0.320513,-0.03557461,0.276165
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R5_vol_or_trendlow_or_liqlow,equal,52,0.666667,78,0.00313935,0.791117,1.203128,3.933869,7.199791,0.384615,-0.04481682,0.269071
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R6_at_least_2_of_vol_trend_liq,equal,43,0.551282,78,0.00279565,0.704504,1.020856,3.859625,5.847291,0.333333,-0.04907499,0.23695
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R0_no_gate,equal,78,1.0,78,0.00215281,0.542509,0.719315,2.260691,4.438803,0.512821,-0.09786446,0.172186
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R3_liquidity_low,equal,38,0.487179,78,0.00307167,0.77406,1.165981,4.600731,6.134402,0.294872,-0.02990281,0.264765
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R5_vol_or_trendlow_or_liqlow,equal,52,0.666667,78,0.00294843,0.743005,1.099947,3.833085,6.976988,0.358974,-0.03851379,0.250918
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R6_at_least_2_of_vol_trend_liq,equal,43,0.551282,78,0.00269847,0.680016,0.972102,3.870404,6.053715,0.307692,-0.04328902,0.228098
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R0_no_gate,equal,78,1.0,78,0.00236814,0.596772,0.814966,2.423617,4.763073,0.551282,-0.0952235,0.191435
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R3_liquidity_low,equal,38,0.487179,78,0.00319375,0.804825,1.233439,4.654946,6.009817,0.320513,-0.03200173,0.276518
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R5_vol_or_trendlow_or_liqlow,equal,52,0.666667,78,0.003118,0.785737,1.191343,3.957584,7.268331,0.384615,-0.04254272,0.267166
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R6_at_least_2_of_vol_trend_liq,equal,43,0.551282,78,0.00278916,0.702868,1.017561,3.885428,5.969975,0.333333,-0.04665385,0.236439
