window,liquidity_bucket,limit_density_bucket,days,active_days,inactive_days,active_mean_return,active_negative_days,inactive_mean_return,inactive_positive_days,inactive_positive_sum
historical_2020_2024,liquidity_high,limit_density_high,86,0,86,,0,-0.00251026,41,0.43188251
historical_2020_2024,liquidity_high,limit_density_low,7,0,7,,0,0.00132838,4,0.02011369
historical_2020_2024,liquidity_high,limit_density_mid,2,0,2,,0,-0.0050187,0,0.0
historical_2020_2024,liquidity_low,limit_density_high,300,300,0,-0.00026063,151,,0,0.0
historical_2020_2024,liquidity_low,limit_density_low,257,257,0,-0.00135909,146,,0,0.0
historical_2020_2024,liquidity_low,limit_density_mid,68,68,0,-0.00053419,37,,0,0.0
historical_2020_2024,liquidity_mid,limit_density_high,308,0,308,,0,-0.00259487,139,1.54432527
historical_2020_2024,liquidity_mid,limit_density_low,137,0,137,,0,-3.074e-05,72,0.52048413
historical_2020_2024,liquidity_mid,limit_density_mid,27,0,27,,0,-0.00019086,11,0.12276677
historical_2020_2024,liquidity_unknown,limit_density_high,5,0,5,,0,0.01261859,3,0.08872956
historical_2020_2024,liquidity_unknown,limit_density_low,5,0,5,,0,0.00484246,3,0.05004608
historical_2020_2024,liquidity_unknown,limit_density_mid,2,0,2,,0,-0.00366831,1,0.01808009
train_2025h2,liquidity_high,limit_density_high,21,0,21,,0,0.00375037,13,0.21509163
train_2025h2,liquidity_high,limit_density_low,8,0,8,,0,0.00390422,5,0.05139411
train_2025h2,liquidity_high,limit_density_mid,13,0,13,,0,0.00400367,10,0.09065226
train_2025h2,liquidity_low,limit_density_high,14,14,0,-0.00052021,8,,0,0.0
train_2025h2,liquidity_low,limit_density_low,14,14,0,-0.00057468,6,,0,0.0
train_2025h2,liquidity_low,limit_density_mid,14,14,0,0.00607204,5,,0,0.0
train_2025h2,liquidity_mid,limit_density_high,7,0,7,,0,0.004622,6,0.03961855
train_2025h2,liquidity_mid,limit_density_low,20,0,20,,0,-0.0010598,8,0.1228291
train_2025h2,liquidity_mid,limit_density_mid,15,0,15,,0,-0.00719554,5,0.03875393
recent_oos_2026,liquidity_high,limit_density_high,15,0,15,,0,-0.00104388,6,0.11224019
recent_oos_2026,liquidity_high,limit_density_mid,1,0,1,,0,-0.0036818,0,0.0
recent_oos_2026,liquidity_low,limit_density_high,14,14,0,0.00841991,3,,0,0.0
recent_oos_2026,liquidity_low,limit_density_low,13,13,0,0.00811699,4,,0,0.0
recent_oos_2026,liquidity_low,limit_density_mid,11,11,0,0.00159767,6,,0,0.0
recent_oos_2026,liquidity_mid,limit_density_high,19,0,19,,0,-0.00243932,9,0.09295283
recent_oos_2026,liquidity_mid,limit_density_low,2,0,2,,0,-0.00018112,1,0.01121654
recent_oos_2026,liquidity_mid,limit_density_mid,3,0,3,,0,-0.00174039,1,0.00772875
recent_2025h2_2026,liquidity_high,limit_density_high,36,0,36,,0,0.00175277,19,0.32733182
recent_2025h2_2026,liquidity_high,limit_density_low,8,0,8,,0,0.00390422,5,0.05139411
recent_2025h2_2026,liquidity_high,limit_density_mid,14,0,14,,0,0.0034547,10,0.09065226
recent_2025h2_2026,liquidity_low,limit_density_high,28,28,0,0.00394985,11,,0,0.0
recent_2025h2_2026,liquidity_low,limit_density_low,27,27,0,0.0036102,10,,0,0.0
recent_2025h2_2026,liquidity_low,limit_density_mid,25,25,0,0.00410332,11,,0,0.0
recent_2025h2_2026,liquidity_mid,limit_density_high,26,0,26,,0,-0.0005382,15,0.13257138
recent_2025h2_2026,liquidity_mid,limit_density_low,22,0,22,,0,-0.00097992,9,0.13404564
recent_2025h2_2026,liquidity_mid,limit_density_mid,18,0,18,,0,-0.00628635,6,0.04648268
